정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
장안말(온천스파),43253,36,14,36,14,0,1
장안말(온천스파),43892,1,12,1,12,0,0
장안사거리,37285,15880,3595,15875,3595,5,649
장안사거리,37295,4839,18373,4836,18373,3,773
장안촌동쪽,43933,10,24,10,24,0,1
장암마을,90155,84,51,82,51,2,4
장암마을,90156,15,23,15,23,0,1
장애인복지관,37249,2597,2716,2574,2716,23,177
장애인종합복지관,43627,3,7,3,7,0,0
장인가구,39706,278,189,278,189,0,15
장자말,43142,21,25,21,25,0,1
장자말,43257,50,0,44,0,6,1
장자촌,43141,18,0,18,0,0,0
장자촌,43255,2,0,2,0,0,0
장전,43415,33,10,33,10,0,1
장전,43500,0,8,0,8,0,0
장정2리마을회관,43665,2,110,2,110,0,3
장정2리마을회관,43693,130,5,127,5,3,4
장지포,90238,1,7,1,7,0,0
장지포,90239,20,8,20,8,0,0
장천사거리,37282,2119,2449,2119,2449,0,152
장천사거리,37610,236,1152,236,1152,0,46
장천사거리,37651,375,1225,375,1225,0,53
장촌길 입구,90379,7,11,6,11,1,0
장촌길 입구,90382,14,6,14,6,0,0
장촌마을,35475,155,15,151,15,4,5
장촌마을,35476,15,192,14,192,1,6
장촌빌라,35321,236,38,233,38,3,9
장촌빌라,35397,26,178,24,178,2,6
장하,43184,4,56,4,56,0,2
장하,43204,43,1,43,1,0,1
장화교회앞,43121,46,44,46,44,0,3
장화교회앞,43539,48,28,46,28,2,2
장화리학생수련원,43426,62,62,60,62,2,4
장화리학생수련원,43474,12,40,12,40,0,1
장흥낚시터,43211,13,7,13,7,0,0
장흥낚시터,43890,1,0,1,0,0,0
장흥리종점,43643,33,29,33,29,0,2
장흥리종점,43888,12,4,12,4,0,0
장흥매점,43641,0,2,0,2,0,0
장흥매점,43891,1,6,1,6,0,0
장흥삼거리,43153,74,3,73,3,1,2
장흥삼거리,43881,12,76,12,76,0,2
장흥저수지(성공회.해든뮤지움),90081,222,176,222,176,0,13
장흥저수지(성공회.해든뮤지움),90082,81,195,81,195,0,9
재능대·한국외대 송도캠퍼스,38754,92,0,92,0,0,3
재능대·한국외대 송도캠퍼스,38755,15,1745,15,1745,0,58
재능대학교서문,36058,16633,24634,16595,24634,38,1375
재능대학교서문,36119,11630,10989,11603,10989,27,753
재활용품수집장,43165,0,21,0,21,0,0
저수지관리소,43264,32,1,32,1,0,1
저수지휴게소,43567,21,71,20,71,1,3
저수지휴게소,43763,0,4,0,4,0,0
적두마을(월곳교회),43190,32,0,31,0,1,1
적두마을(월곳교회),43709,1,42,1,42,0,1
적석사입구,43348,11,105,11,105,0,3
적석사입구,43847,112,7,111,7,1,3
전동교회,35199,7384,4410,7384,4410,0,393
전동교회,35200,2495,7787,2495,7787,0,342
전득이고개입구,90187,5,11,5,11,0,0
전득이고개입구,90188,8,66,7,66,1,2
전들,43477,38,0,37,0,1,1
전들,43835,7,52,7,52,0,1
전등사남문,43515,128,372,128,372,0,16
전등사남문,43893,279,89,279,89,0,12
전등사동문,43521,208,791,204,791,4,33
전등사동문,43895,576,350,576,350,0,30
전소,35231,6638,4969,6623,4969,15,386
전소,35232,6159,6055,6157,6055,2,407
전원미술관앞,43387,238,4,234,4,4,8
전원미술관앞,43810,7,278,7,278,0,9
전인연립(종점),40132,122,375,122,375,0,16
절아래,90401,7,29,7,29,0,1
절아래,90402,30,12,29,12,1,1
점촌,43414,62,2,58,2,4,2
점촌,43806,1,41,1,41,0,1
젓개마을,35828,1,124,1,124,0,4
젓개마을,35829,0,4,0,4,0,0
젓개마을입구,35322,0,1,0,1,0,0
정광아파트(병무청),37008,4627,28,4627,28,0,155
정광아파트(병무청),37009,5,5063,5,5063,0,168
정광아파트.만수주공11단지,39476,6521,7212,6513,7212,8,457
정광아파트.만수주공11단지,39477,7230,4467,7226,4467,4,389
정기무역,35083,1440,178,1416,178,24,53
정다운그린빌,92024,1925,3808,1925,3808,0,191
정든마을아파트,40055,2403,3856,2403,3856,0,208
정든마을아파트,40057,4437,2136,4437,2136,0,219
정병원,40413,5189,4801,5189,4801,0,333
정부인천지방합동청사,37386,35540,16285,35532,16285,8,1727
정부인천지방합동청사,37388,26123,31714,26100,31714,23,1927
정비단지,37005,2185,1543,2185,1543,0,124
정비단지,37006,880,2428,880,2428,0,110
정서진삼거리,89234,1,322,1,322,0,10
정석항공과학고,37168,25540,5778,25535,5778,5,1043
정석항공과학고,37170,9496,25702,9492,25702,4,1173
정수사입구,43404,23,6,23,6,0,0
정수사입구,43436,14,40,14,40,0,1
정하,43183,52,15,52,15,0,2
정하,43208,4,14,4,14,0,0
제물포시장,37310,806,564,806,564,0,45
제물포시장,37311,707,844,707,844,0,51
제물포신협(구박문여고),36003,10281,4676,10278,4676,3,498
제물포신협(구박문여고),37499,5125,7399,5123,7399,2,417
제물포여자중학교,37288,3882,2049,3882,2049,0,197
제물포여자중학교,37290,5578,5171,5574,5171,4,358
제물포여자중학교,37298,8037,10063,8037,10063,0,603
제물포역,37355,55659,35419,55637,35419,22,3035
제물포역,37364,30737,21762,30708,21762,29,1749
제물포역,37496,35591,43040,35586,43040,5,2621
제물포역,37498,19623,5836,19623,5836,0,848
제물포역,37502,30189,38082,30177,38082,12,2275
제물포역(동양빌딩),37339,1311,5737,1311,5737,0,234
제물포중학교,42064,3089,9033,3084,9033,5,404
제물포중학교,42065,9169,3147,9136,3147,33,410
제운사거리(청년창업특화거리),37175,3551,5511,3544,5511,7,302
제운사거리(청년창업특화거리),37534,4905,6159,4891,6159,14,368
제일시장,37316,7021,6386,7021,6386,0,446
제일시장,37329,9844,10966,9838,10966,6,693
제일시장사거리,37667,1112,700,1112,700,0,60
제일주유소,57020,2027,1218,2027,1218,0,108
제일주유소,57021,842,3191,842,3191,0,134
제일풍경채,42833,3295,3429,3295,3429,0,224
제일풍경채1차정문앞,89350,1535,1469,1535,1469,0,100
제일풍경채2차,89349,9,157,9,157,0,5
제일풍경채2차321동앞,42866,2953,1071,2953,1071,0,134
제일풍경채2차321동앞,42873,329,1157,329,1157,0,49
제일풍경채2차323동앞,42891,6176,6359,6175,6359,1,417
제일풍경채2차331동앞,42989,1987,3244,1987,3244,0,174
제적봉앞마을,90060,0,4,0,4,0,0
제적봉입구,43654,2,36,2,36,0,1
제적봉입구,43686,2,2,2,2,0,0
조광교회입구,43533,4,0,4,0,0,0
조광교회입구,43868,0,26,0,26,0,0
조달청(한양2차아파트),37511,6390,12687,6371,12687,19,635
조달청비축기지,35114,1296,4855,1292,4855,4,205
조달청비축기지,35115,3125,1628,3116,1628,9,158
조동초등학교,39464,2779,1672,2779,1672,0,148
조동초등학교,39465,30,1244,30,1244,0,42
조리미입구,80068,1334,52,1334,52,0,46
조리미입구,80069,58,1335,58,1335,0,46
조바위,90350,0,18,0,18,0,0
조바위,90351,24,10,23,10,1,1
조산,43192,13,71,13,71,0,2
조산,43334,114,19,112,19,2,4
조산교회,43172,4,23,4,23,0,0
조산교회,43338,61,3,60,3,1,2
조산초등학교,43189,13,237,13,237,0,8
조산초등학교,43593,217,6,209,6,8,7
종갱이,43180,37,158,37,158,0,6
종갱이,43288,102,53,100,53,2,5
종근당,40002,307,14,307,14,0,10
종근당,40005,9,781,9,781,0,26
종근당.충정로역,11002,189,7690,189,7690,0,262
종로약국,57005,807,1021,807,1021,0,60
종로약국,57007,1973,787,1973,787,0,92
종생마을,80161,883,127,878,127,5,33
종생마을,80162,139,1382,135,1382,4,50
종점(병무청),37014,2433,3140,2433,3140,0,185
종합터미널,37242,43187,21498,43164,21498,23,2156
종합터미널,39177,14435,37001,14428,37001,7,1714
종현동정보화마을,62043,31,149,31,149,0,6
종현동정보화마을,62044,146,27,146,27,0,5
좌동교차로,89371,6,77,6,77,0,2
좌동마을,42452,166,84,166,84,0,8
좌동마을,89253,112,250,112,250,0,12
좌동마을입구,42456,24,103,24,103,0,4
좌동마을입구,42928,229,44,229,44,0,9
주거단지,35118,443,416,443,416,0,28
주거단지,35120,276,729,276,729,0,33
주공12단지,35082,731,209,731,209,0,31
주공12단지,35084,471,453,471,453,0,30
주공6단지후문,40453,3759,2506,3759,2506,0,208
주공뜨란채아파트,40708,3139,3231,3139,3231,0,212
주공뜨란채아파트,40803,3854,2880,3854,2880,0,224
주공아파트,40867,418,822,418,822,0,41
주물단지,42291,1420,3675,1419,3675,1,169
주안1동행정복지센터,37385,5130,6799,5127,6799,3,397
주안2동치안센터,37302,7029,4929,7029,4929,0,398
주안4동행정복지센터,37333,168,237,168,237,0,13
주안4동행정복지센터,37335,39,382,36,382,3,14
주안5동행정복지센터,37526,631,917,631,917,0,51
주안7동행정복지센터,37214,19436,20077,19414,20077,22,1317
주안7동행정복지센터,37216,22675,17210,22648,17210,27,1329
주안국가산단역,37583,6855,820,6855,820,0,255
주안국가산단역,37584,30,2171,30,2171,0,73
주안남초등학교,37283,7936,8422,7936,8422,0,545
주안남초등학교,37284,11765,4855,11765,4855,0,554
주안도서관,37341,668,419,666,419,2,36
주안도서관,37342,579,596,579,596,0,39
주안매매단지,37586,294,209,294,209,0,16
주안북부역,37418,17673,12698,17673,12698,0,1012
주안북부역,37420,16975,12638,16975,12638,0,987
주안북초등학교,37417,4338,7358,4338,7358,0,389
주안사거리,37330,17993,11744,17976,11744,17,991
주안사거리,37514,2986,9767,2986,9767,0,425
